timestamp,pod_name,namespace,service,status,cpu_usage,cpu_utilization,memory_usage,memory_utilization,network_rx,network_tx,error_rate,restart_count
2025-03-07 17:34:13.022489,auth-default-5879,default,auth,Running,0.1,26.0,107,53.9,344,208,0.0,0
2025-03-07 17:34:13.022489,web-kube-system-7870,kube-system,web,Running,0.19,32.1,111,37.0,2091,1165,0.0,0
2025-03-07 17:34:13.022489,auth-default-4390,default,auth,Running,0.1,25.1,96,48.5,1473,809,0.0,0
2025-03-07 17:34:13.022489,worker-kube-system-8411,kube-system,worker,Running,0.33,27.6,326,40.8,1348,579,0.0,0
2025-03-07 17:34:13.022489,api-app-3093,app,api,Running,0.2,25.6,201,50.5,856,327,0.03,0
2025-03-07 17:34:13.022489,worker-kube-system-9118,kube-system,worker,Running,0.34,28.3,345,43.2,843,429,0.0,0
2025-03-07 17:34:13.022489,worker-monitoring-3308,monitoring,worker,Running,0.32,27.0,354,44.3,2824,1376,0.0,0
2025-03-07 17:34:13.022489,cache-app-3442,app,cache,Running,0.13,32.1,556,46.4,434,181,0.0,3
2025-03-07 17:34:13.022489,auth-kube-system-8511,kube-system,auth,Running,0.12,30.6,102,51.3,1060,467,0.0,0
2025-03-07 17:34:13.022489,queue-monitoring-1131,monitoring,queue,Running,0.05,26.9,161,40.3,2036,1278,0.0,0
2025-03-07 17:34:13.022489,cache-app-6079,app,cache,Running,0.1,25.6,514,42.9,282,170,0.0,0
2025-03-07 17:34:13.022489,db-app-9878,app,db,Running,0.47,29.2,643,40.2,450,288,0.0,0
2025-03-07 17:34:13.022489,auth-default-9366,default,auth,Running,0.12,29.2,104,52.3,695,309,0.0,0
2025-03-07 17:34:13.022489,worker-kube-system-6463,kube-system,worker,Running,0.39,32.6,337,42.2,102,64,0.0,0
2025-03-07 17:34:13.022489,web-default-9673,default,web,Running,0.18,30.0,106,35.4,487,155,0.0,0
2025-03-07 17:34:13.022489,api-database-9421,database,api,Running,0.23,28.7,190,47.7,1722,1098,0.04,0
2025-03-07 17:34:13.022489,web-monitoring-2290,monitoring,web,Running,0.15,25.3,132,44.1,1260,835,0.0,0
2025-03-07 17:34:13.022489,auth-kube-system-7265,kube-system,auth,Pending,0.11,28.1,106,53.4,1378,757,0.0,0
2025-03-07 17:34:13.022489,worker-default-8377,default,worker,Running,0.34,28.2,437,54.7,410,130,0.0,0
2025-03-07 17:34:13.022489,worker-database-9812,database,worker,Running,0.36,30.4,411,51.4,3519,2017,0.0,0
2025-03-07 17:39:13.022489,auth-default-5879,default,auth,Running,0.11,27.1,107,53.8,1139,701,0.0,0
2025-03-07 17:39:13.022489,web-kube-system-7870,kube-system,web,Running,0.19,32.2,142,47.5,826,569,0.0,0
2025-03-07 17:39:13.022489,auth-default-4390,default,auth,Running,0.11,26.8,80,40.2,452,145,0.0,0
2025-03-07 17:39:13.022489,worker-kube-system-8411,kube-system,worker,Running,0.37,30.8,346,43.3,947,377,0.0,0
2025-03-07 17:39:13.022489,api-app-3093,app,api,Running,0.24,30.4,210,52.5,1349,721,0.0,0
2025-03-07 17:39:13.022489,worker-kube-system-9118,kube-system,worker,Running,0.32,26.5,381,47.7,2744,1408,0.0,0
2025-03-07 17:39:13.022489,worker-monitoring-3308,monitoring,worker,Running,0.54,44.8,280,35.1,1199,414,0.0,0
2025-03-07 17:39:13.022489,cache-app-3442,app,cache,Running,0.12,29.5,596,49.7,3000,1545,0.0,0
2025-03-07 17:39:13.022489,auth-kube-system-8511,kube-system,auth,Running,0.1,25.4,74,37.0,2920,1463,0.0,0
2025-03-07 17:39:13.022489,queue-monitoring-1131,monitoring,queue,Running,0.05,26.6,185,46.5,584,399,0.0,0
2025-03-07 17:39:13.022489,cache-app-6079,app,cache,Running,0.1,26.2,536,44.7,440,184,0.0,0
2025-03-07 17:39:13.022489,db-app-9878,app,db,Running,0.43,26.9,593,37.1,1310,684,0.0,0
2025-03-07 17:39:13.022489,auth-default-9366,default,auth,Running,0.11,26.3,93,46.9,568,193,0.0,0
2025-03-07 17:39:13.022489,worker-kube-system-6463,kube-system,worker,Running,0.3,25.3,288,36.1,165,52,0.0,0
2025-03-07 17:39:13.022489,web-default-9673,default,web,Running,0.17,29.1,136,45.6,4188,2634,0.0,0
2025-03-07 17:39:13.022489,api-database-9421,database,api,Running,0.2,25.2,172,43.1,1560,675,0.0,0
2025-03-07 17:39:13.022489,web-monitoring-2290,monitoring,web,Running,0.27,44.9,161,54.0,3992,1950,0.0,0
2025-03-07 17:39:13.022489,worker-default-8377,default,worker,Running,0.35,28.9,389,48.7,737,301,0.0,0
2025-03-07 17:39:13.022489,worker-database-9812,database,worker,Running,0.39,32.5,335,42.0,856,453,0.0,0
2025-03-07 17:44:13.022489,auth-default-5879,default,auth,Running,0.11,27.9,102,51.1,2270,765,0.0,0
2025-03-07 17:44:13.022489,web-kube-system-7870,kube-system,web,Running,0.18,30.2,109,36.6,1367,528,0.0,0
2025-03-07 17:44:13.022489,auth-default-4390,default,auth,Running,0.12,29.4,84,42.0,1091,616,0.0,0
2025-03-07 17:44:13.022489,worker-kube-system-8411,kube-system,worker,Running,0.35,29.1,316,39.6,75,37,0.0,0
2025-03-07 17:44:13.022489,api-app-3093,app,api,Running,0.63,78.5,216,54.1,1538,465,0.0,0
2025-03-07 17:44:13.022489,worker-kube-system-9118,kube-system,worker,Running,0.37,30.6,343,43.0,829,306,0.0,0
2025-03-07 17:44:13.022489,worker-monitoring-3308,monitoring,worker,Running,0.38,31.5,382,47.8,883,358,0.0,0
2025-03-07 17:44:13.022489,cache-app-3442,app,cache,Running,0.11,28.5,575,47.9,1488,954,0.0,0
